noa,DMRSD_I1D1R1,parallel_DMRSD_I1D1R1,Ratio
14,0.085483012,0.036369016,2.350435128
15,0.21362385979758367,0.063709792,3.35307733
16,0.1678550763140889,0.05764692,2.91177873
17,1.0077819817648992,0.29627451962894863,3.401514187
18,3.1561626373119958,1.0111346494711246,3.121406866
19,1.759489147213194,0.5493422018157111,3.202901837
20,5.047537160579292,1.2572887199454839,4.014620572
21,6.299190493345261,1.854367845084932,3.39694765
